"year","reporterCode","flowCode","partnerCode","netWgt_kg","fobValue_usd","primaryValue_usd","qty"
"2015","276","X","56","18468779","191235355.192","191235355.192","2985"
"2015","276","X","56","18468779","191235355.192","191235355.192","2985"
"2015","276","X","51","262035","830837.287","830837.287","33"
"2015","276","X","51","70500","151438.396","151438.396","9"
"2015","276","X","56","60775","435879.74","435879.74","8"
"2015","276","X","51","155240","427038.532","427038.532","20"
"2015","276","X","56","531669","3272690.761","3272690.761","66"
"2015","276","X","51","36295","252360.359","252360.359","4"
"2015","276","X","56","17876335","187526784.691","187526784.691","2911"
"2015","276","X","44","8235","38816.14","38816.14","1"
"2015","276","X","36","7652286","77609451.983","77609451.983","1258"
"2015","276","X","44","405695","3262239.238","3262239.238","60"
"2015","276","X","36","9495","3213.976","3213.976","2"
"2015","276","X","36","7661781","77612665.959","77612665.959","1260"
"2015","276","X","44","413930","3301055.377","3301055.377","61"
"2015","276","X","40","27500","342806.4","342806.4","4"
"2015","276","X","40","1878026","12218583.239","12218583.239","233"
"2015","276","X","40","12350","157972.816","157972.816","2"
"2015","276","X","40","24259331","281434151.089","281434151.089","3718"
"2015","276","X","40","22341455","268714788.633","268714788.633","3479"
"2015","276","X","36","2502320","21554359.442","21554359.442","299"
"2015","276","X","36","2502320","21554359.442","21554359.442","299"
"2015","276","X","44","566528","6002500.102","6002500.102","73"
"2015","276","X","44","566528","6002500.102","6002500.102","73"
"2015","276","X","36","10154606","99163811.425","99163811.425","1557"
"2015","276","X","44","972223","9264739.34","9264739.34","133"
"2015","276","X","36","9495","3213.976","3213.976","2"
"2015","276","X","36","10164101","99167025.401","99167025.401","1559"
"2015","276","X","44","980458","9303555.479","9303555.479","134"
"2015","276","X","44","8235","38816.14","38816.14","1"
"2015","276","X","40","1878026","12218583.239","12218583.239","233"
"2015","276","X","40","27500","342806.4","342806.4","4"
"2015","276","X","40","12350","157972.816","157972.816","2"
"2015","276","X","40","24259331","281434151.089","281434151.089","3718"
"2015","276","X","40","22341455","268714788.633","268714788.633","3479"
"2015","276","X","40","27500","342806.4","342806.4","4"
"2015","276","X","40","1878026","12218583.239","12218583.239","233"
"2015","276","X","44","972223","9264739.34","9264739.34","133"
"2015","276","X","40","22341455","268714788.633","268714788.633","3479"
"2015","276","X","40","24259331","281434151.089","281434151.089","3718"
"2015","276","X","40","12350","157972.816","157972.816","2"
"2015","276","X","44","980458","9303555.479","9303555.479","134"
"2015","276","X","44","8235","38816.14","38816.14","1"
"2015","276","X","44","8235","38816.14","38816.14","1"
"2015","276","X","44","405695","3262239.238","3262239.238","60"
"2015","276","X","44","413930","3301055.377","3301055.377","61"
"2015","276","X","40","27500","342806.4","342806.4","4"
"2015","276","X","40","1878026","12218583.239","12218583.239","233"
"2015","276","X","40","12350","157972.816","157972.816","2"
"2015","276","X","40","24259331","281434151.089","281434151.089","3718"
"2015","276","X","40","22341455","268714788.633","268714788.633","3479"
"2015","276","X","44","566528","6002500.102","6002500.102","73"
"2015","276","X","44","566528","6002500.102","6002500.102","73"
"2015","276","X","4","3179787","11285373.374","11285373.374","389"
"2015","276","X","4","3179787","11285373.374","11285373.374","389"
"2015","276","X","4","1132044","3045302.488","3045302.488","144"
"2015","276","X","4","1132044","3045302.488","3045302.488","144"
"2015","276","X","4","4306972","11332003.757","11332003.757","552"
"2015","276","X","4","4306972","11332003.757","11332003.757","552"
"2015","276","X","24","21423","242212.711","242212.711","6"
"2015","276","X","24","21423","242212.711","242212.711","6"
"2015","276","X","24","205643","1855155.286","1855155.286","22"
"2015","276","X","24","52577","230891.707","230891.707","7"
"2015","276","X","24","258220","2086046.993","2086046.993","29"
"2015","276","X","32","900127","8738895.988","8738895.988","121"
"2015","276","X","32","75337","940512.844","940512.844","6"
"2015","276","X","32","975464","9679408.832","9679408.832","127"
"2015","276","X","8","311552","942532.393","942532.393","42"
"2015","276","X","8","311552","942532.393","942532.393","42"
"2015","276","X","8","120495","395192.662","395192.662","15"
"2015","276","X","8","120495","395192.662","395192.662","15"
"2015","276","X","8","260349","508546.88","508546.88","33"
"2015","276","X","8","260349","508546.88","508546.88","33"
"2015","276","X","12","1244530","15291408.588","15291408.588","96"
"2015","276","X","12","5196182","49732612.147","49732612.147","696"
"2015","276","X","12","6440712","65024020.735","65024020.735","792"
"2015","276","X","31","411455","1942478.292","1942478.292","57"
"2015","276","X","31","2596","86113.051","86113.051","11"
"2015","276","X","31","414051","2028591.343","2028591.343","68"
"2015","276","X","31","531520","2555499.367","2555499.367","66"
"2015","276","X","31","346560","1121742.073","1121742.073","46"
"2015","276","X","31","184960","1433757.294","1433757.294","20"
"2015","276","X","31","345624","1217011.297","1217011.297","48"
"2015","276","X","31","345624","1217011.297","1217011.297","48"
"2015","276","X","31","1103639","4281231.662","4281231.662","151"
"2015","276","X","31","2596","86113.051","86113.051","11"
"2015","276","X","31","184960","1433757.294","1433757.294","20"
"2015","276","X","31","1291195","5801102.007","5801102.007","182"
"2015","276","X","12","1244530","15291408.588","15291408.588","96"
"2015","276","X","12","5196182","49732612.147","49732612.147","696"
"2015","276","X","12","6440712","65024020.735","65024020.735","792"
"2015","276","X","8","692396","1846271.936","1846271.936","90"
"2015","276","X","8","692396","1846271.936","1846271.936","90"
"2015","276","X","32","900127","8738895.988","8738895.988","121"
"2015","276","X","32","75337","940512.844","940512.844","6"
"2015","276","X","32","975464","9679408.832","9679408.832","127"
"2015","276","X","24","205643","1855155.286","1855155.286","22"
"2015","276","X","24","74000","473104.418","473104.418","13"
"2015","276","X","24","279643","2328259.704","2328259.704","35"
"2015","276","X","4","8618803","25662679.62","25662679.62","1085"
"2015","276","X","4","8618803","25662679.62","25662679.62","1085"
"2015","276","X","0","89633","1298530.735","1298530.735","5"
"2015","276","X","0","78275708","757373808.446","757373808.446","9712"
"2015","276","X","0","1740244","13748155.401","13748155.401","211"
"2015","276","X","0","80105585","772420494.583","772420494.583","9928"
"2015","276","X","0","235236","1202324.379","1202324.379","46"
"2015","276","X","0","1029503","13449875.549","13449875.549","138"
"2015","276","X","0","1264739","14652199.928","14652199.928","184"
"2015","276","X","0","405585","4415575.431","4415575.431","60"
"2015","276","X","0","1003430844","9171482042.774","9171482042.774","145293"
"2015","276","X","0","1383045","8164438.193","8164438.193","191"
"2015","276","X","0","313580","5283051.827","5283051.827","20"
"2015","276","X","0","104055087","734276064.951","734276064.951","13309"
"2015","276","X","0","228731","1854736.072","1854736.072","77"
"2015","276","X","0","407040115","3541307196.97","3541307196.97","55458"
"2015","276","X","0","486771660","4848808242.481","4848808242.481","75723"
"2015","276","X","0","3233041","27372736.849","27372736.849","455"
"2015","276","X","0","485652524","4834059836.197","4834059836.197","75580"
"2015","276","X","0","328529171","2782731064.145","2782731064.145","45700"
"2015","276","X","0","228731","1854736.072","1854736.072","77"
"2015","276","X","0","405585","4415575.431","4415575.431","60"
"2015","276","X","0","922060520","8384409348.264","8384409348.264","135181"
"2015","276","X","0","1383045","8164438.193","8164438.193","191"
"2015","276","X","0","313580","5283051.827","5283051.827","20"
"2015","276","X","0","102314843","720527909.55","720527909.55","13098"
"2015","276","X","0","3233041","27372736.849","27372736.849","455"
"2015","276","X","0","102314843","720527909.55","720527909.55","13098"
"2015","276","X","0","313580","5283051.827","5283051.827","20"
"2015","276","X","0","1383045","8164438.193","8164438.193","191"
"2015","276","X","0","922060520","8384409348.264","8384409348.264","135181"
"2015","276","X","0","405585","4415575.431","4415575.431","60"
"2015","276","X","0","228731","1854736.072","1854736.072","77"
"2015","276","X","0","328529171","2782731064.145","2782731064.145","45700"
"2015","276","X","0","485652524","4834059836.197","4834059836.197","75580"
"2015","276","X","0","3233041","27372736.849","27372736.849","455"
"2015","276","X","0","3233041","27372736.849","27372736.849","455"
"2015","276","X","0","486771660","4848808242.481","4848808242.481","75723"
"2015","276","X","0","407040115","3541307196.97","3541307196.97","55458"
"2015","276","X","0","228731","1854736.072","1854736.072","77"
"2015","276","X","0","405585","4415575.431","4415575.431","60"
"2015","276","X","0","1003430844","9171482042.774","9171482042.774","145293"
"2015","276","X","0","1383045","8164438.193","8164438.193","191"
"2015","276","X","0","313580","5283051.827","5283051.827","20"
"2015","276","X","0","104055087","734276064.951","734276064.951","13309"
"2015","276","X","0","235236","1202324.379","1202324.379","46"
"2015","276","X","0","1029503","13449875.549","13449875.549","138"
"2015","276","X","0","1264739","14652199.928","14652199.928","184"
"2015","276","X","0","80105585","772420494.583","772420494.583","9928"
"2015","276","X","0","89633","1298530.735","1298530.735","5"
"2015","276","X","0","78275708","757373808.446","757373808.446","9712"
"2015","276","X","0","1740244","13748155.401","13748155.401","211"
"2015","276","X","36","9495","3213.976","3213.976","2"
"2015","276","X","36","9495","3213.976","3213.976","2"
"2015","276","X","36","7652286","77609451.983","77609451.983","1258"
"2015","276","X","36","2502320","21554359.442","21554359.442","299"
"2015","276","X","36","10154606","99163811.425","99163811.425","1557"
"2015","276","X","36","7661781","77612665.959","77612665.959","1260"
"2015","276","X","36","2502320","21554359.442","21554359.442","299"
"2015","276","X","36","10164101","99167025.401","99167025.401","1559"
"2015","276","X","31","1291195","5801102.007","5801102.007","182"
"2015","276","X","31","1103639","4281231.662","4281231.662","151"
"2015","276","X","31","2596","86113.051","86113.051","11"
"2015","276","X","31","184960","1433757.294","1433757.294","20"
"2015","276","X","31","345624","1217011.297","1217011.297","48"
"2015","276","X","31","345624","1217011.297","1217011.297","48"
"2015","276","X","31","411455","1942478.292","1942478.292","57"
"2015","276","X","31","2596","86113.051","86113.051","11"
"2015","276","X","31","414051","2028591.343","2028591.343","68"
"2015","276","X","31","531520","2555499.367","2555499.367","66"
"2015","276","X","31","346560","1121742.073","1121742.073","46"
"2015","276","X","31","184960","1433757.294","1433757.294","20"
"2015","276","X","12","5196182","49732612.147","49732612.147","696"
"2015","276","X","12","1244530","15291408.588","15291408.588","96"
"2015","276","X","12","6440712","65024020.735","65024020.735","792"
"2015","276","X","8","260349","508546.88","508546.88","33"
"2015","276","X","8","260349","508546.88","508546.88","33"
"2015","276","X","8","311552","942532.393","942532.393","42"
"2015","276","X","8","311552","942532.393","942532.393","42"
"2015","276","X","8","120495","395192.662","395192.662","15"
"2015","276","X","8","120495","395192.662","395192.662","15"
"2015","276","X","32","75337","940512.844","940512.844","6"
"2015","276","X","32","900127","8738895.988","8738895.988","121"
"2015","276","X","32","975464","9679408.832","9679408.832","127"
"2015","276","X","24","21423","242212.711","242212.711","6"
"2015","276","X","24","21423","242212.711","242212.711","6"
"2015","276","X","24","52577","230891.707","230891.707","7"
"2015","276","X","24","205643","1855155.286","1855155.286","22"
"2015","276","X","24","258220","2086046.993","2086046.993","29"
"2015","276","X","4","4306972","11332003.757","11332003.757","552"
"2015","276","X","4","4306972","11332003.757","11332003.757","552"
"2015","276","X","4","1132044","3045302.488","3045302.488","144"
"2015","276","X","4","1132044","3045302.488","3045302.488","144"
"2015","276","X","4","3179787","11285373.374","11285373.374","389"
"2015","276","X","4","3179787","11285373.374","11285373.374","389"
"2015","276","X","4","8618803","25662679.62","25662679.62","1085"
"2015","276","X","4","8618803","25662679.62","25662679.62","1085"
"2015","276","X","24","74000","473104.418","473104.418","13"
"2015","276","X","24","205643","1855155.286","1855155.286","22"
"2015","276","X","24","279643","2328259.704","2328259.704","35"
"2015","276","X","32","75337","940512.844","940512.844","6"
"2015","276","X","32","900127","8738895.988","8738895.988","121"
"2015","276","X","32","975464","9679408.832","9679408.832","127"
"2015","276","X","8","692396","1846271.936","1846271.936","90"
"2015","276","X","8","692396","1846271.936","1846271.936","90"
"2015","276","X","12","5196182","49732612.147","49732612.147","696"
"2015","276","X","12","1244530","15291408.588","15291408.588","96"
"2015","276","X","12","6440712","65024020.735","65024020.735","792"
"2015","276","X","72","27200","326945.017","326945.017","1"
"2015","276","X","140","6000","11644.842","11644.842","1"
"2015","276","X","112","5350","107908.868","107908.868","1"
"2015","276","X","156","4900","105358.093","105358.093","1"
"2015","276","X","72","27200","326945.017","326945.017","1"
"2015","276","X","140","6000","11644.842","11644.842","1"
"2015","276","X","196","8300","28639.657","28639.657","1"
"2015","276","X","100","2950","29988.24","29988.24","1"
"2015","276","X","203","12000","155419.823","155419.823","1"
"2015","276","X","124","10009","113692.473","113692.473","1"
"2015","276","X","100","2950","29988.24","29988.24","1"
"2015","276","X","203","12000","155419.823","155419.823","1"
"2015","276","X","72","27200","326945.017","326945.017","1"
"2015","276","X","108","8354","89004.299","89004.299","1"
"2015","276","X","140","6000","11644.842","11644.842","1"
"2015","276","X","196","8300","28639.657","28639.657","1"
"2015","276","X","112","5350","107908.868","107908.868","1"
"2015","276","X","156","4900","105358.093","105358.093","1"
"2015","276","X","72","27200","326945.017","326945.017","1"
"2015","276","X","108","8354","89004.299","89004.299","1"
"2015","276","X","140","6000","11644.842","11644.842","1"
"2015","276","X","112","13494","165387.808","165387.808","1"
"2015","276","X","108","8354","89004.299","89004.299","1"
"2015","276","X","124","10009","113692.473","113692.473","1"
"2015","276","X","178","9292","82100.571","82100.571","1"
"2015","276","X","108","8354","89004.299","89004.299","1"
"2015","276","X","178","9292","82100.571","82100.571","1"
"2015","276","X","112","13494","165387.808","165387.808","1"
"2015","276","X","124","10009","113692.473","113692.473","1"
"2015","276","X","191","9440","63354.594","63354.594","2"
"2015","276","X","112","9689","78053.712","78053.712","2"
"2015","276","X","170","21800","218812.124","218812.124","2"
"2015","276","X","170","21800","218812.124","218812.124","2"
"2015","276","X","170","21800","218812.124","218812.124","2"
"2015","276","X","112","9689","78053.712","78053.712","2"
"2015","276","X","170","21800","218812.124","218812.124","2"
"2015","276","X","191","9440","63354.594","63354.594","2"
"2015","276","X","156","2676267","21942091.642","21942091.642","325"
"2015","276","X","112","356844","3347949.71","3347949.71","43"
"2015","276","X","76","98246","1477101.613","1477101.613","9"
"2015","276","X","180","1431290","11241159.573","11241159.573","155"
"2015","276","X","188","69640","703208.711","703208.711","8"
"2015","276","X","192","477005","3896347.458","3896347.458","56"
"2015","276","X","56","531669","3272690.761","3272690.761","66"
"2015","276","X","56","60775","435879.74","435879.74","8"
"2015","276","X","68","25430","66486.502","66486.502","3"
"2015","276","X","70","1434187","8083274.754","8083274.754","188"
"2015","276","X","100","39290","77144.305","77144.305","5"
"2015","276","X","100","6510471","43375025.327","43375025.327","856"
"2015","276","X","112","424544","3870357.28","3870357.28","52"
"2015","276","X","191","2219090","11364052.58","11364052.58","285"
"2015","276","X","191","40662","145871.053","145871.053","5"
"2015","276","X","196","75584","768295.614","768295.614","11"
"2015","276","X","203","41066","375679.235","375679.235","6"
"2015","276","X","203","11403415","124718126.364","124718126.364","1512"
"2015","276","X","70","2463588","9194195.997","9194195.997","370"
"2015","276","X","196","50735","356559.513","356559.513","8"
"2015","276","X","56","17876335","187526784.691","187526784.691","2911"
"2015","276","X","112","397391","3488333.27","3488333.27","40"
"2015","276","X","191","3972468","31729589.006","31729589.006","599"
"2015","276","X","100","15874177","143167163.585","143167163.585","2350"
"2015","276","X","203","9008534","91966278.833","91966278.833","1538"
"2015","276","X","156","4180137","38142079.591","38142079.591","505"
"2015","276","X","124","1282954","16530356.549","16530356.549","217"
"2015","276","X","76","123386","1750034.526","1750034.526","12"
"2015","276","X","152","3604987","35438415.693","35438415.693","456"
"2015","276","X","70","61549","335083.098","335083.098","8"
"2015","276","X","84","74375","583262.404","583262.404","10"
"2015","276","X","148","106731","430713.866","430713.866","14"
"2015","276","X","178","386840","2100085.127","2100085.127","47"
"2015","276","X","180","1586793","12336898.16","12336898.16","172"
"2015","276","X","192","477005","3896347.458","3896347.458","56"
"2015","276","X","204","1084375","647597.383","647597.383","147"
"2015","276","X","120","1364151","6450020.248","6450020.248","191"
"2015","276","X","188","506451","4329247.227","4329247.227","80"
"2015","276","X","68","582420","2160273.433","2160273.433","76"
"2015","276","X","116","16455","30775.654","30775.654","5"
"2015","276","X","156","1503870","16199987.949","16199987.949","180"
"2015","276","X","124","1282954","16530356.549","16530356.549","217"
"2015","276","X","152","3604987","35438415.693","35438415.693","456"
"2015","276","X","70","61549","335083.098","335083.098","8"
"2015","276","X","84","74375","583262.404","583262.404","10"
"2015","276","X","148","106731","430713.866","430713.866","14"
"2015","276","X","178","377548","2017984.556","2017984.556","46"
"2015","276","X","180","155503","1095738.587","1095738.587","17"
"2015","276","X","204","1084375","647597.383","647597.383","147"
"2015","276","X","120","1364151","6450020.248","6450020.248","191"
"2015","276","X","188","436811","3626038.516","3626038.516","72"
"2015","276","X","68","582420","2160273.433","2160273.433","76"
"2015","276","X","116","16455","30775.654","30775.654","5"
"2015","276","X","76","25140","272932.913","272932.913","3"
"2015","276","X","56","17876335","187526784.691","187526784.691","2911"
"2015","276","X","196","50735","356559.513","356559.513","8"
"2015","276","X","112","383897","3322945.462","3322945.462","39"
"2015","276","X","70","2463588","9194195.997","9194195.997","370"
"2015","276","X","191","3972468","31729589.006","31729589.006","599"
"2015","276","X","100","15874177","143167163.585","143167163.585","2350"
"2015","276","X","203","9008534","91966278.833","91966278.833","1538"
"2015","276","X","56","531669","3272690.761","3272690.761","66"
"2015","276","X","56","60775","435879.74","435879.74","8"
"2015","276","X","68","25430","66486.502","66486.502","3"
"2015","276","X","70","1434187","8083274.754","8083274.754","188"
"2015","276","X","100","39290","77144.305","77144.305","5"
"2015","276","X","100","6510471","43375025.327","43375025.327","856"
"2015","276","X","112","67700","522407.569","522407.569","9"
"2015","276","X","191","2219090","11364052.58","11364052.58","285"
"2015","276","X","191","40662","145871.053","145871.053","5"
"2015","276","X","196","75584","768295.614","768295.614","11"
"2015","276","X","203","41066","375679.235","375679.235","6"
"2015","276","X","203","11403415","124718126.364","124718126.364","1512"
"2015","276","X","68","607850","2226759.935","2226759.935","79"
"2015","276","X","188","506451","4329247.227","4329247.227","80"
"2015","276","X","120","1364151","6450020.248","6450020.248","191"
"2015","276","X","148","106731","430713.866","430713.866","14"
"2015","276","X","178","386840","2100085.127","2100085.127","47"
"2015","276","X","180","1586793","12336898.16","12336898.16","172"
"2015","276","X","192","477005","3896347.458","3896347.458","56"
"2015","276","X","204","1084375","647597.383","647597.383","147"
"2015","276","X","196","134619","1153494.784","1153494.784","20"
"2015","276","X","56","18468779","191235355.192","191235355.192","2985"
"2015","276","X","70","3959324","17612553.849","17612553.849","566"
"2015","276","X","112","836974","7544653.129","7544653.129","95"
"2015","276","X","191","6241660","43302867.232","43302867.232","891"
"2015","276","X","152","3604987","35438415.693","35438415.693","456"
"2015","276","X","76","123386","1750034.526","1750034.526","12"
"2015","276","X","100","22426888","186649321.457","186649321.457","3212"
"2015","276","X","124","1292963","16644049.022","16644049.022","218"
"2015","276","X","203","20465015","217215504.254","217215504.254","3057"
"2015","276","X","156","4185037","38247437.685","38247437.685","506"
"2015","276","X","84","74375","583262.404","583262.404","10"
"2015","276","X","116","16455","30775.654","30775.654","5"
"2015","276","X","76","25140","272932.913","272932.913","3"
"2015","276","X","68","607850","2226759.935","2226759.935","79"
"2015","276","X","120","1364151","6450020.248","6450020.248","191"
"2015","276","X","84","74375","583262.404","583262.404","10"
"2015","276","X","148","106731","430713.866","430713.866","14"
"2015","276","X","178","377548","2017984.556","2017984.556","46"
"2015","276","X","180","155503","1095738.587","1095738.587","17"
"2015","276","X","204","1084375","647597.383","647597.383","147"
"2015","276","X","188","436811","3626038.516","3626038.516","72"
"2015","276","X","196","134619","1153494.784","1153494.784","20"
"2015","276","X","56","18468779","191235355.192","191235355.192","2985"
"2015","276","X","70","3959324","17612553.849","17612553.849","566"
"2015","276","X","112","466636","4031315.611","4031315.611","51"
"2015","276","X","191","6241660","43302867.232","43302867.232","891"
"2015","276","X","152","3604987","35438415.693","35438415.693","456"
"2015","276","X","100","22426888","186649321.457","186649321.457","3212"
"2015","276","X","124","1282954","16530356.549","16530356.549","217"
"2015","276","X","203","20465015","217215504.254","217215504.254","3057"
"2015","276","X","156","1508770","16305346.042","16305346.042","181"
"2015","276","X","116","16455","30775.654","30775.654","5"
"2015","276","X","156","2676267","21942091.642","21942091.642","325"
"2015","276","X","76","98246","1477101.613","1477101.613","9"
"2015","276","X","112","356844","3347949.71","3347949.71","43"
"2015","276","X","180","1431290","11241159.573","11241159.573","155"
"2015","276","X","188","69640","703208.711","703208.711","8"
"2015","276","X","192","477005","3896347.458","3896347.458","56"
"2015","276","X","100","39290","77144.305","77144.305","5"
"2015","276","X","191","40662","145871.053","145871.053","5"
"2015","276","X","68","25430","66486.502","66486.502","3"
"2015","276","X","70","1434187","8083274.754","8083274.754","188"
"2015","276","X","100","6510471","43375025.327","43375025.327","856"
"2015","276","X","112","67700","522407.569","522407.569","9"
"2015","276","X","191","2219090","11364052.58","11364052.58","285"
"2015","276","X","196","75584","768295.614","768295.614","11"
"2015","276","X","208","3924442","43448415.557","43448415.557","492"
"2015","276","X","203","41066","375679.235","375679.235","6"
"2015","276","X","203","11403415","124718126.364","124718126.364","1512"
"2015","276","X","70","2463588","9194195.997","9194195.997","370"
"2015","276","X","112","383897","3322945.462","3322945.462","39"
"2015","276","X","196","50735","356559.513","356559.513","8"
"2015","276","X","191","3972468","31729589.006","31729589.006","599"
"2015","276","X","100","15874177","143167163.585","143167163.585","2350"
"2015","276","X","208","7183324","81547445.831","81547445.831","1088"
"2015","276","X","203","9008534","91966278.833","91966278.833","1538"
"2015","276","X","156","1503870","16199987.949","16199987.949","180"
"2015","276","X","124","1282954","16530356.549","16530356.549","217"
"2015","276","X","152","3604987","35438415.693","35438415.693","456"
"2015","276","X","70","61549","335083.098","335083.098","8"
"2015","276","X","84","74375","583262.404","583262.404","10"
"2015","276","X","120","1364151","6450020.248","6450020.248","191"
"2015","276","X","148","106731","430713.866","430713.866","14"
"2015","276","X","178","377548","2017984.556","2017984.556","46"
"2015","276","X","180","155503","1095738.587","1095738.587","17"
"2015","276","X","204","1084375","647597.383","647597.383","147"
"2015","276","X","188","436811","3626038.516","3626038.516","72"
"2015","276","X","68","582420","2160273.433","2160273.433","76"
"2015","276","X","116","16455","30775.654","30775.654","5"
"2015","276","X","76","25140","272932.913","272932.913","3"
"2015","276","X","188","436811","3626038.516","3626038.516","72"
"2015","276","X","68","607850","2226759.935","2226759.935","79"
"2015","276","X","120","1364151","6450020.248","6450020.248","191"
"2015","276","X","180","155503","1095738.587","1095738.587","17"
"2015","276","X","84","74375","583262.404","583262.404","10"
"2015","276","X","148","106731","430713.866","430713.866","14"
"2015","276","X","178","377548","2017984.556","2017984.556","46"
"2015","276","X","204","1084375","647597.383","647597.383","147"
"2015","276","X","196","134619","1153494.784","1153494.784","20"
"2015","276","X","70","3959324","17612553.849","17612553.849","566"
"2015","276","X","112","466636","4031315.611","4031315.611","51"
"2015","276","X","191","6241660","43302867.232","43302867.232","891"
"2015","276","X","152","3604987","35438415.693","35438415.693","456"
"2015","276","X","100","22426888","186649321.457","186649321.457","3212"
"2015","276","X","208","11123766","125133558.87","125133558.87","1583"
"2015","276","X","124","1282954","16530356.549","16530356.549","217"
"2015","276","X","203","20465015","217215504.254","217215504.254","3057"
"2015","276","X","156","1508770","16305346.042","16305346.042","181"
"2015","276","X","116","16455","30775.654","30775.654","5"
"2015","276","X","76","25140","272932.913","272932.913","3"
"2015","276","X","156","4180137","38142079.591","38142079.591","505"
"2015","276","X","124","1282954","16530356.549","16530356.549","217"
"2015","276","X","76","123386","1750034.526","1750034.526","12"
"2015","276","X","152","3604987","35438415.693","35438415.693","456"
"2015","276","X","70","61549","335083.098","335083.098","8"
"2015","276","X","84","74375","583262.404","583262.404","10"
"2015","276","X","120","1364151","6450020.248","6450020.248","191"
"2015","276","X","148","106731","430713.866","430713.866","14"
"2015","276","X","178","386840","2100085.127","2100085.127","47"
"2015","276","X","180","1586793","12336898.16","12336898.16","172"
"2015","276","X","192","477005","3896347.458","3896347.458","56"
"2015","276","X","204","1084375","647597.383","647597.383","147"
"2015","276","X","188","506451","4329247.227","4329247.227","80"
"2015","276","X","68","582420","2160273.433","2160273.433","76"
"2015","276","X","116","16455","30775.654","30775.654","5"
"2015","276","X","196","50735","356559.513","356559.513","8"
"2015","276","X","70","2463588","9194195.997","9194195.997","370"
"2015","276","X","112","397391","3488333.27","3488333.27","40"
"2015","276","X","191","3972468","31729589.006","31729589.006","599"
"2015","276","X","100","15874177","143167163.585","143167163.585","2350"
"2015","276","X","208","7183324","81547445.831","81547445.831","1088"
"2015","276","X","203","9008534","91966278.833","91966278.833","1538"
"2015","276","X","203","41066","375679.235","375679.235","6"
"2015","276","X","203","11403415","124718126.364","124718126.364","1512"
"2015","276","X","100","39290","77144.305","77144.305","5"
"2015","276","X","191","40662","145871.053","145871.053","5"
"2015","276","X","68","25430","66486.502","66486.502","3"
"2015","276","X","70","1434187","8083274.754","8083274.754","188"
"2015","276","X","100","6510471","43375025.327","43375025.327","856"
