Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
"100","'356","India","6621","Arable land","5110","Area","1961","1961","1000 ha","155806.000000","A",
"100","'356","India","6621","Arable land","5110","Area","1962","1962","1000 ha","156700.000000","A",
"100","'356","India","6621","Arable land","5110","Area","1963","1963","1000 ha","157470.000000","A",
"100","'356","India","6621","Arable land","5110","Area","1964","1964","1000 ha","157732.000000","A",
"100","'356","India","6621","Arable land","5110","Area","1965","1965","1000 ha","158216.000000","A",
"100","'356","India","6621","Arable land","5110","Area","1966","1966","1000 ha","158590.000000","A",
"100","'356","India","6621","Arable land","5110","Area","1967","1967","1000 ha","159780.000000","A",
"100","'356","India","6621","Arable land","5110","Area","1968","1968","1000 ha","160069.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1969","1969","1000 ha","159976.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1970","1970","1000 ha","160560.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1971","1971","1000 ha","159756.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1972","1972","1000 ha","160186.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1973","1973","1000 ha","161044.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1974","1974","1000 ha","161501.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1975","1975","1000 ha","161838.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1976","1976","1000 ha","162057.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1977","1977","1000 ha","162059.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1978","1978","1000 ha","163239.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1979","1979","1000 ha","163444.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1980","1980","1000 ha","162854.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1981","1981","1000 ha","162912.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1982","1982","1000 ha","163246.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1983","1983","1000 ha","162732.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1984","1984","1000 ha","163618.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1985","1985","1000 ha","163540.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1986","1986","1000 ha","163409.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1987","1987","1000 ha","163205.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1988","1988","1000 ha","162868.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1989","1989","1000 ha","163476.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1990","1990","1000 ha","163459.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1991","1991","1000 ha","163182.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1992","1992","1000 ha","162706.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1993","1993","1000 ha","162586.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1994","1994","1000 ha","162525.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1995","1995","1000 ha","161911.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1996","1996","1000 ha","161025.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1997","1997","1000 ha","161601.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1998","1998","1000 ha","161409.000000","I",
"100","'356","India","6621","Arable land","5110","Area","1999","1999","1000 ha","160975.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2000","2000","1000 ha","160930.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2001","2001","1000 ha","160325.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2002","2002","1000 ha","160432.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2003","2003","1000 ha","159799.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2004","2004","1000 ha","159681.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2005","2005","1000 ha","159444.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2006","2006","1000 ha","158662.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2007","2007","1000 ha","158022.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2008","2008","1000 ha","157995.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2009","2009","1000 ha","157924.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2010","2010","1000 ha","157009.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2011","2011","1000 ha","156979.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2012","2012","1000 ha","156546.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2013","2013","1000 ha","156442.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2014","2014","1000 ha","156463.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2015","2015","1000 ha","156413.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2016","2016","1000 ha","156317.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2017","2017","1000 ha","155895.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2018","2018","1000 ha","155478.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2019","2019","1000 ha","155369.000000","I",
"100","'356","India","6621","Arable land","5110","Area","2020","2020","1000 ha","154422.600000","I",
"100","'356","India","6621","Arable land","5110","Area","2021","2021","1000 ha","154163.966700","I",
"100","'356","India","6621","Arable land","5110","Area","2022","2022","1000 ha","154027.533300","I",
"100","'356","India","6621","Arable land","5110","Area","2023","2023","1000 ha","153868.700000","I",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1961","1961","%","89.060000","A",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1962","1962","%","88.790000","A",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1963","1963","%","89.390000","A",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1964","1964","%","89.260000","A",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1965","1965","%","89.300000","A",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1966","1966","%","89.330000","A",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1967","1967","%","89.860000","A",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1968","1968","%","89.740000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1969","1969","%","89.980000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1970","1970","%","90.180000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1971","1971","%","89.840000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1972","1972","%","90.020000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1973","1973","%","90.090000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1974","1974","%","90.080000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1975","1975","%","90.060000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1976","1976","%","90.210000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1977","1977","%","90.240000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1978","1978","%","90.390000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1979","1979","%","90.510000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1980","1980","%","90.340000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1981","1981","%","90.310000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1982","1982","%","90.310000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1983","1983","%","90.180000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1984","1984","%","90.170000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1985","1985","%","90.180000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1986","1986","%","90.190000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1987","1987","%","89.900000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1988","1988","%","89.940000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1989","1989","%","90.070000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1990","1990","%","90.100000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1991","1991","%","89.860000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1992","1992","%","89.740000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1993","1993","%","89.640000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1994","1994","%","89.650000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1995","1995","%","89.480000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1996","1996","%","89.170000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1997","1997","%","89.290000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1998","1998","%","89.240000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","1999","1999","%","88.930000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2000","2000","%","88.920000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2001","2001","%","88.830000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2002","2002","%","88.850000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2003","2003","%","88.650000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2004","2004","%","88.530000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2005","2005","%","88.520000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2006","2006","%","88.190000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2007","2007","%","87.980000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2008","2008","%","87.890000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2009","2009","%","87.700000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2010","2010","%","87.430000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2011","2011","%","87.370000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2012","2012","%","87.140000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2013","2013","%","87.060000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2014","2014","%","87.060000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2015","2015","%","87.050000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2016","2016","%","87.050000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2017","2017","%","86.980000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2018","2018","%","86.800000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2019","2019","%","86.780000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2020","2020","%","86.500000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2021","2021","%","86.350000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2022","2022","%","86.260000","E",
"100","'356","India","6621","Arable land","7208","Share in Agricultural land","2023","2023","%","86.170000","E",
"351","'159","China","6621","Arable land","5110","Area","1961","1961","1000 ha","103397.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1962","1962","1000 ha","103100.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1963","1963","1000 ha","102903.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1964","1964","1000 ha","102705.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1965","1965","1000 ha","102458.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1966","1966","1000 ha","102001.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1967","1967","1000 ha","101514.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1968","1968","1000 ha","101027.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1969","1969","1000 ha","100562.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1970","1970","1000 ha","100067.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1971","1971","1000 ha","99634.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1972","1972","1000 ha","99170.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1973","1973","1000 ha","98697.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1974","1974","1000 ha","99258.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1975","1975","1000 ha","97786.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1976","1976","1000 ha","97602.333300","E",
"351","'159","China","6621","Arable land","5110","Area","1977","1977","1000 ha","97417.666700","E",
"351","'159","China","6621","Arable land","5110","Area","1978","1978","1000 ha","97221.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1979","1979","1000 ha","97082.500000","E",
"351","'159","China","6621","Arable land","5110","Area","1980","1980","1000 ha","96950.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1981","1981","1000 ha","97549.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1982","1982","1000 ha","102450.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1983","1983","1000 ha","108051.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1984","1984","1000 ha","114744.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1985","1985","1000 ha","120835.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1986","1986","1000 ha","121220.000000","E",
"351","'159","China","6621","Arable land","5110","Area","1987","1987","1000 ha","120913.000000","E",
