observation_date,A368RC1A027NBEA
1948-01-01,211.852
1949-01-01,203.648
1950-01-01,227.285
1951-01-01,258.499
1952-01-01,270.662
1953-01-01,285.377
1954-01-01,282.675
1955-01-01,311.614
1956-01-01,330.098
1957-01-01,343.262
1958-01-01,340.065
1959-01-01,373.399
1960-01-01,386.404
1961-01-01,396.969
1962-01-01,427.137
1963-01-01,451.286
1964-01-01,484.442
1965-01-01,526.998
1966-01-01,572.612
1967-01-01,599.164
1968-01-01,654.213
1969-01-01,704.731
1970-01-01,726.329
1971-01-01,780.812
1972-01-01,865.075
1973-01-01,976.153
1974-01-01,1044.910
1975-01-01,1118.488
1976-01-01,1254.892
1977-01-01,1409.299
1978-01-01,1602.789
1979-01-01,1773.892
1980-01-01,1900.024
1981-01-01,2140.860
1982-01-01,2201.642
1983-01-01,2370.819
1984-01-01,2700.549
1985-01-01,2892.510
1986-01-01,3007.679
1987-01-01,3212.652
1988-01-01,3501.757
1989-01-01,3709.644
1990-01-01,3864.191
1991-01-01,3941.204
1992-01-01,4176.776
1993-01-01,4366.742
1994-01-01,4693.200
1995-01-01,4961.581
1996-01-01,5319.431
1997-01-01,5734.976
1998-01-01,6128.792
1999-01-01,6478.733
2000-01-01,6936.787
2001-01-01,7077.689
2002-01-01,7205.680
2003-01-01,7506.721
2004-01-01,8060.727
2005-01-01,8660.139
2006-01-01,9327.146
2007-01-01,9490.719
2008-01-01,9294.332
2009-01-01,8883.882
2010-01-01,9476.882
2011-01-01,9986.305
2012-01-01,10629.505
2013-01-01,10953.203
2014-01-01,11585.821
2015-01-01,12020.465
2016-01-01,12202.694
2017-01-01,12751.398
2018-01-01,13486.263
2019-01-01,14066.934
2020-01-01,13533.226
2021-01-01,15595.891
2022-01-01,17292.279
2023-01-01,18084.144
2024-01-01,19014.876
